id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Sunlit Porch,Amber Wilde,folk pop,happy,0.58,104,0.75,0.71,0.68
12,Tambourine Heart,Rosa Vale,acoustic soul,happy,0.62,108,0.79,0.74,0.72
13,Barefoot Waltz,Willow Bend,singer-songwriter,chill,0.50,96,0.68,0.66,0.80
14,Firelight Sway,Cedar Moss,folk,relaxed,0.47,92,0.70,0.69,0.83
15,Copper Skies,Harlow Fields,acoustic pop,happy,0.60,110,0.77,0.76,0.65
16,Riverside Groove,Maren Cole,bossa nova,chill,0.55,100,0.72,0.78,0.75
17,Wildflower Stomp,Juno Rae,folk pop,upbeat,0.66,116,0.81,0.80,0.60
18,Honeyed Strings,Delta Fawn,acoustic funk,happy,0.63,112,0.74,0.83,0.58
19,Porchlight Sessions,Amber Wilde,folk,relaxed,0.44,88,0.66,0.63,0.85
20,Golden Hour Sway,Rosa Vale,acoustic soul,chill,0.52,98,0.73,0.72,0.70
